1,72.1,624,712.65,103.95,845,67490,1230,96.4,35.3,553.85,
2,70.2,614.05,707.65,103.4,841.8,67350,1248.55,92.55,34.25,553.95,
3,72.2,617.3,706.45,105,835,67899,1290,95.25,34.25,564,
4,70.95,610.95,708.95,104.3,830,66489.25,1280,94.6,33,555,
5,69.8,621.2,706.25,105.25,861,67100,1261.4,97.9,33.55,569,
6,71.95,639,722,106.5,859.7,69269,1268.95,97.4,34.75,579,
7,70.1,635,709.85,107.5,841.9,69199,1222,96.95,33,570,
8,70.5,640.65,716.8,105.45,847,67968,1233,95.95,32.4,574,
9,67.9,632,708,105.5,847,66686.35,1210,95,31.4,567.6,
10,67,650,689.25,105,841,66400.05,1244.1,94.5,32.2,585,
11,66.7,641,691.25,104,851.9,67167,1219.9,92.9,33.5,565.2,
12,66.9,638,690,107.15,811,68359,1220.4,93.9,31,572,
13,65.45,635,673.75,104.6,843.15,66399,1193.65,91.05,30.1,554,
14,62,609,654.05,99.1,804.9,64000,1164.15,91,29.5,528.55,
15,65.85,606,670,101.9,840,64555,1213.9,91,30,536.9,
16,66.1,615,671.9,103.5,855,65143.25,1207.9,94.75,30.35,551," "
17,66.4,623,663,102.75,855,65100,1230,91.55,30.7,543.55,
18,69.95,621.55,682,107.2,889,66499,1251.9,95,30.75,549.75,
19,70.8,616.5,702,107.15,902,66775,1283,95.4,30,553.95,
20,68.5,634,699,113,885,69001,1268.2,96.5,30.4,555.5,
21,68.4,604,702.6,110.65,868,68250.15,1253.1,95,31.75,555.7,
22,67.05,599,695.95,109.2,864.65,69111,1239,94,30.9,540,
23,67,610.95,710,110.3,839,68712.8,1233.9,94.7,31.2,546.05,
24,66.85,617.5,689.15,108.85,848.7,67900,1254.9,96.15,30.85,557,
25,66.6,634.3,702.4,109.45,849,68100,1225,96,30.6,548.45,
26,66.55,634.9,688.75,110.9,854.75,67500,1230,98.5,31.2,564,
27,67.8,614.95,691.8,108.25,854.4,66200,1220,99.2,31.1,554.5,
28,68,632,700.15,109.15,862.8,65666.35,1231.5,100.55,30.1,558,
29,66.9,629.5,700.65,106,865.55,65888,1233,101.6,30.5,550,
30,67.25,632.95,689.4,106.65,855,66084.1,1235,106.1,29.45,560,
31,66.2,623.25,705,107.8,836,65500,1199.9,109,30.05,544,
32,68.9,629.4,691.8,113.9,855,66112.45,1155,106.2,30.25,545.7,
33,69,626,694.95,118.9,862,65152,1134.9,107.8,29,534.8,
34,70.1,649.8,698,118.45,856,66399.9,1155.1,110.5,30.25,538.4,
35,69.8,640,701.2,122.6,850,65222,1134.95,113.9,30.95,513,
36,69.9,639,700,122.8,858,65800,1165,113,31.85,526,
37,70.25,632.6,683.7,121.4,841.9,66124.95,1163.35,115.5,33.3,536.7,
38,71.25,632.6,695,117.8,851,66400,1160,114.75,28.9,548.75,
39,70.9,649.95,694,114.5,860,65424,1176.75,115.65,29,540,
40,68.85,658,685.5,115.3,879.95,64900,1144.7,109,28,542,
41,69.55,648.95,688.85,114.4,880,64498,1171,109.7,28.1,522.65,
42,68.35,623,689.95,115.5,886,63625,1144,111,27.8,536.95,
43,68.45,608.95,671.7,113.95,856,63000,1091.55,107,28,498,
44,71.4,643.8,665.65,112.75,853.8,62445,1100.1,105,27.25,530,
45,74.95,639,654.1,114.9,850,62000,1115,108.6,27.15,520,
46,75.2,631.95,675,112.5,859.8,62456.8,1145,110.45,26.15,512.95,
47,74.6,671.9,669.9,111.9,877.1,61779,1138,108.3,26.1,501,
48,74.5,669.85,673.5,114.4,882,62426.8,1145,109.75,26.9,505.95,
49,73.8,634.95,670.6,113.7,893,62111,1118.15,108.75,27,490,
50,76.9,634,673,121.5,900,64013.25,1136,114.1,28.65,515.35,
