Date,   Oracle,    Walmart,     Reliance,  Microsoft,      HP,    HMC,      GS,    Samsung,       Bajaj,      AXP
2019-01-01,49.168911,93.927734,1220.391724,102.908394,13.612421,29.197186,194.01033,46150,2570.344727,100.866135
2019-02-01,51.230808,97.024994,1224.270264,110.397652,14.942144,27.449432,192.726776,45100,2644.36499,106.249207
2019-03-01,52.783554,95.593979,1355.742188,116.717896,16.286074,26.381361,188.871613,44650,3019.707031,107.787628
2019-04-01,54.37561,101.340942,1385.129517,129.246719,15.710453,27.337397,202.575333,45850,3090.532715,115.607903
2019-05-01,49.949898,99.961349,1322.824463,122.398415,15.740227,24.122389,179.525925,42500,3461.033447,113.523232
2019-06-01,56.23806,109.457817,1246.19873,133.062622,13.93,25.328016,202.18396,47000,3674.65918,122.16291
2019-07-01,55.576668,109.348846,1159.827148,135.357162,14.74,24.63891,217.530579,45350,3246.359863,123.083282
2019-08-01,51.599171,113.192604,1241.67395,136.936493,14.74,23.430733,201.502106,44000,3332.5,119.4972
2019-09-01,54.542877,118.150047,1332.25,138.558517,14.609277,25.827284,206.06813,49050,4046.050049,117.422356
2019-10-01,54.00766,118.568169,1464.349976,142.883804,14.15416,26.969999,212.183655,50400,4027.550049,116.429604
2019-11-01,55.891224,118.558212,1551.150024,150.866638,13.612421,28.120001,220.108978,50300,4074.199951,119.705101
2019-12-01,52.745228,118.309326,1514.050049,157.699997,14.942144,28.309999,229.929993,55800,4234.75,124.059998
2020-01-01,52.217579,114.489998,1411.650024,170.229996,16.286074,25.6,237.75,56400,4365.899902,129.421417
2020-02-01,54.542877,116.449997,1433.650024,183.889999,15.710453,26.49,238,60400,4654.299805,131.820007
2020-02-07,54.00766,116.449997,1433.650024,183.889999,15.740227,26.49,238,60400,4654.299805,131.820007
