Asian Paints,Wipro,Titan,SBI,L&T,Infosys,ICICI,CoalIndia,Bajaj Finance,Axis Bank
764.3,557,364.75,258.8,1683,2012,286.2,406.2,4499.95,548.05
747,552,352.3,255,1675,2013,283.25,398.1,4412.75,553.5
737.1,545,360.5,258.3,1668.2,2010,287.1,402,4560,557.3
740,564.25,364.9,262,1714,2035,296,405.3,4577.1,568.95
707,547.6,353.45,254,1674.8,2002,288.95,401,4650,546
713,537,346.9,254.3,1669.7,980,297.8,398.95,4678.4,552.55
705,541.9,344.7,251,1670,994,298,396,4671.6,548
709.9,542.4,348.15,256,1680,1007,304.7,398.35,4711.4,553
717.1,546.9,354.95,256.05,1720,1000.25,304.1,399.6,4780,552
734.9,557.1,359.8,260,1721,1005,302.55,397,4896.5,551.25
743,561,361.6,260.8,1723,1009,306.55,394.65,5219.35,555.2
747,564,370,269,1737.5,1025,315,400.7,5384.6,576
753,559,359,268,1768.1,1010,313.75,419.9,5320,571.15
751,565,350.6,261,1744.9,1000,317.4,412,5277,566
749.1,555.55,353.5,264,1804.85,995,315.4,412,5385.9,565
750.6,551,355,258,1748,988,303,408.25,5320,553
738,550,355,259.25,1789,993,310.9,409.1,5424,560.3
756.35,546,367,262,1783.8,990,308.1,422.9,5468,559
761.55,553.35,364.2,268.5,1810,1000,314,426,5501,578.5
763,560,349,267.9,1800,987,312.95,425.4,5481.35,580
765,546,355.85,262.55,1783.9,980,309,417,5530,577.55
792,553.9,358.7,270.6,1817,990,314.8,420.75,5600,582
823,551.95,362.5,269.9,1800,985,308.5,428.8,5540.6,577
809.9,553.3,355,267,1812,960,307,419,5250,578.05
804.5,548.1,360,270,1850,950,313.4,420.6,5030,575
807.9,551.9,357,271.5,1875,940,315.15,423.85,5050,578.9
824,558.5,358.6,274,1862,955,316.45,420.2,5105,582.05
829.45,569,360.05,268.8,1861,971.9,314.8,439,5107.1,587
850.25,587,350.9,269.8,1870,985.5,315.5,439.7,5180,588
850,577,349.9,272.9,1873,989.9,318.05,439.5,5260.35,608
827.1,569,349,272,1871.45,1003.25,318.1,432.9,5194,602
852,572.8,345.5,267.45,1866,1022.2,316.8,425.8,5190,600
817,580,339,264,1840,1105,312.4,425.1,5199,584.75
846,588,339.6,270,1859.95,1103,317.5,432.55,5150,591
846.5,588.8,337.2,270,1835,1100,313.95,430.55,5150,586
849.5,569,340,263.65,1800,1089,300.4,425,5148.9,580
853,561.25,336.6,259.5,1749,1077,291.35,423.6,5243.2,560
